Year,Month,Entries,Exits,Year-Month
2020,1,15045415,14983474,2020-1
2020,2,14144406,14076263,2020-2
2020,3,7627012,7570272,2020-3
2020,4,900109,866905,2020-4
2020,5,968044,928390,2020-5
2020,6,1369103,1328100,2020-6
2020,7,1601989,1562735,2020-7
2020,8,1738371,1707925,2020-8
2020,9,2195563,2115601,2020-9
2020,10,2346566,2251953,2020-10
2020,11,2081049,1985890,2020-11
2020,12,1952248,1853100,2020-12
2021,1,1891035,1805290,2021-1
2021,2,1855628,1778019,2021-2
2021,3,2536029,2436237,2021-3
2021,4,2813346,2698440,2021-4
2021,5,3157859,3042144,2021-5
2021,6,3934113,3813967,2021-6
2021,7,4700841,4572196,2021-7
2021,8,4341063,4267557,2021-8
2021,9,4983722,4921536,2021-9
2021,10,5092937,5015595,2021-10
2021,11,4397357,4320534,2021-11
2021,12,4207140,4128340,2021-12
2022,1,3302181,3252542,2022-1
2022,2,3847359,3781917,2022-2
2022,3,5843239,5776351,2022-3
2022,4,6242971,6186118,2022-4
2022,5,6190527,6126440,2022-5
2022,6,6944963,6877677,2022-6
2022,7,6721266,6665989,2022-7
2022,8,6595920,6544294,2022-8
2022,9,6772485,6727415,2022-9
2022,10,7181318,7112593,2022-10
2022,11,6662394,6600117,2022-11
2022,12,6315963,6249140,2022-12
2023,1,7900631,7715814,2023-1
2023,2,7487857,7323885,2023-2
2023,3,10003098,9789844,2023-3
2023,4,9588868,9411070,2023-4
2023,5,10102647,9902855,2023-5
2023,6,10119411,9947122,2023-6
2023,7,10194460,10067219,2023-7
2023,8,9783796,9659616,2023-8
2023,9,10166852,10058694,2023-9
2023,10,10987178,10823976,2023-10
2023,11,9882308,9739671,2023-11
2023,12,8585951,8480022,2023-12
2024,1,8940704,8840945,2024-1
2024,2,9537539,9452735,2024-2
2024,3,11622952,11575183,2024-3
2024,4,11538895,11519095,2024-4
2024,5,11264158,11269015,2024-5
2024,6,10809083,10819552,2024-6
2024,7,11053426,11086523,2024-7
2024,8,10199581,10207407,2024-8
2024,9,10964612,10984238,2024-9
2024,10,12423706,12463772,2024-10
2024,11,10017605,10051237,2024-11
2024,12,9745950,9792346,2024-12
2025,1,9773991,9792329,2025-1
2025,2,8570345,8556825,2025-2
